wavelength,in,out
41929.0151048951,-81.63125807889281,-81.63302836222982
41637.84138888889,-81.64121810930095,-81.64101008500526
41350.68386206897,-81.64175598592138,-81.64175426162566
41067.46000000001,-81.6357380092374,-81.63432947771216
40788.089523809525,-81.6389424901362,-81.63625686888182
40512.494324324325,-81.64072027686942,-81.64115132930479
40240.598389261744,-81.63562991175951,-81.63503481476465
39972.32773333333,-81.64120102335897,-81.64030150318851
39707.61033112583,-81.6408708067982,-81.63789997127898
39446.37605263158,-81.6417598119632,-81.63221294756454
39188.55660130719,-81.64003677793346,-81.63333054326921
38934.08545454546,-81.64074647902206,-81.64036778537482
38682.89780645161,-81.64045094383505,-81.64033813962544
38434.930512820516,-81.63948406607994,-81.64008753228813
38190.12203821656,-81.63893727021812,-81.64095693650202
37948.41240506329,-81.6247921448149,-81.6179861728341
37709.743144654094,-81.63793783375414,-81.63814806784643
37474.057250000005,-81.63944984315415,-81.63977237609782
37241.29913043478,-81.63435778918992,-81.63815174316625
37011.414567901236,-81.62952988908577,-81.60148367210283
36784.35067484663,-81.64046494077462,-81.63447954144286
36560.05585365853,-81.63591657324332,-81.63531380740775
36338.479757575755,-81.63835476320338,-81.63822596375576
36119.573253012044,-81.64077107726223,-81.64091388012076
35903.28838323353,-81.63932488652986,-81.63765863298465
35689.57833333333,-81.61788948501018,-81.62030347426446
35478.397396449705,-81.63964774000837,-81.6403911120791
35269.700941176474,-81.63805442387124,-81.63864091681359
35063.44538011696,-81.63663990452648,-81.63455462539432
34859.588139534884,-81.64045802845516,-81.63417329731203
34658.0876300578,-81.6381634978051,-81.63809683602042
34458.903218390806,-81.63425434393568,-81.63239190491322
34261.9952,-81.63399317473656,-81.63392791400182
34067.32477272727,-81.6386206022569,-81.63829709547338
33874.85401129944,-81.63642756517675,-81.6399270295774
33684.54584269663,-81.61900733165965,-81.62189816889236
33496.36402234637,-81.63915696848025,-81.63871199888351
33310.27311111111,-81.63668848522008,-81.63511231451852
33126.23845303868,-81.63883806863137,-81.6371894981935
32944.22615384615,-81.62979569396339,-81.62693418382901
32764.20306010929,-81.6375712666838,-81.64151413499295
32586.136739130437,-81.63033901435497,-81.62670102121265
32409.99545945946,-81.64084093790933,-81.64087178275773
32235.748172043008,-81.62967957748407,-81.62958855510888
32063.364491978606,-81.63335424456278,-81.63520190842928
31892.814680851065,-81.63886979579948,-81.64007556109934
31724.069629629626,-81.63896033180677,-81.6348438186287
31557.100842105265,-81.63265567258202,-81.63202133788712
31391.88041884817,-81.63900026792439,-81.63666555089563
31228.381041666664,-81.62206332453886,-81.61914473541563
31066.575958549223,-81.63096874819885,-81.62762316425724
30906.438969072162,-81.57944205591144,-81.57645938215578
30747.94441025641,-81.6389643175986,-81.63885018599942
30591.067142857144,-81.58167705404432,-81.58123911470673
30435.782538071064,-81.64023136876202,-81.64056258520819
30282.066464646465,-81.64143722132843,-81.64087214982925
