80CSV  	
// AQ6380 OPTICAL SPECTRUM ANALYZER //
40
"CTRWL",1570.000000
"SPAN", 140.000000
"START WL",1500.000000
"STOP WL",1640.000000
"WLFREQ", 0
"REFL", -0.2
"LSCL",10.0
"RESLN",0.200
"CUSTOM RES",0
"AVG",   1
"SMPLAUTO",      0
"SMPL",      14001
"SMPLINTVL",0.0100
"NORMAL"
"SENS LEVEL",-65.0
"MEAS"
"LSUNT",1
"NMSKH","OFF"
"RESCOR",1
"SMOOTH",0
"MEASWL",1
"MODELNAME",AQ6380
"NEBWCAL0",10037
"NEBWCAL1",10037
1502.1600, -61.955
1502.1700, -61.757
1502.1800, -61.683
1502.1900, -61.750
1502.2000, -61.866
1502.2100, -61.589
1502.2200, -61.254
1502.2300, -60.856
1502.2400, -60.758
1502.2500, -60.705
1502.2600, -60.775
1502.2700, -61.306
1502.2800, -61.488
1502.2900, -61.291
1502.3000, -61.307
1502.3100, -61.484
1502.3200, -61.859
1502.3300, -62.544
1502.3400, -62.682
1502.3500, -63.097
1502.3600, -64.701
1502.3700, -65.299
1502.3800, -64.570
1502.3900, -64.043
1502.4000, -64.287
1502.4100, -65.235
1502.4200, -66.575
1502.4300, -67.692
1502.4400, -67.344
1502.4500, -66.496
1502.4600, -66.887
1502.4700, -66.421
1502.4800, -65.959
1502.4900, -66.203
1502.5000, -65.025
1502.5100, -64.282
1502.5200, -64.252
1502.5300, -64.108
1502.5400, -64.090
1502.5500, -63.956
1502.5600, -63.863
1502.5700, -63.835
1502.5800, -64.072
1502.5900, -65.012
1502.6000, -65.335
1502.6100, -65.128
1502.6200, -65.036
1502.6300, -64.525
1502.6400, -64.235
1502.6500, -63.873
1502.6600, -62.943
1502.6700, -62.775
1502.6800, -63.256
1502.6900, -63.714
1502.7000, -64.504
1502.7100, -65.087
1502.7200, -65.186
1502.7300, -64.692
1502.7400, -64.529
1502.7500, -64.442
1502.7600, -63.722
1502.7700, -63.547
1502.7800, -63.498
1502.7900, -62.952
1502.8000, -62.787
1502.8100, -62.456
1502.8200, -61.970
1502.8300, -62.113
1502.8400, -62.279
1502.8500, -62.873
1502.8600, -64.210
1502.8700, -64.999
1502.8800, -64.613
1502.8900, -64.238
1502.9000, -64.311
1502.9100, -63.908
1502.9200, -63.615
1502.9300, -63.295
1502.9400, -63.289
1502.9500, -63.671
1502.9600, -63.867
1502.9700, -64.269
1502.9800, -65.329
1502.9900, -66.937
1503.0000, -67.266
1503.0100, -68.565
1503.0200, -70.210
1503.0300, -71.110
1503.0400, -74.672
1503.0500, -73.329
1503.0600, -70.293
1503.0700, -69.302
1503.0800, -70.047
1503.0900, -69.527
1503.1000, -69.939
1503.1100, -71.657
1503.1200, -70.452
1503.1300, -76.391
1503.1400,-210.000
1503.1500, -75.221
1503.1600, -73.951
1503.1700, -70.659
1503.1800, -69.701
1503.1900, -68.466
1503.2000, -67.871
1503.2100, -66.999
1503.2200, -67.774
1503.2300, -68.360
1503.2400, -65.831
1503.2500, -64.746
1503.2600, -64.230
1503.2700, -63.963
1503.2800, -63.684
1503.2900, -63.114
1503.3000, -62.424
1503.3100, -62.487
1503.3200, -62.936
1503.3300, -62.619
1503.3400, -62.971
1503.3500, -63.097
1503.3600, -62.519
1503.3700, -62.615
1503.3800, -63.111
1503.3900, -63.779
1503.4000, -64.256
1503.4100, -64.542
1503.4200, -63.959
1503.4300, -63.562
1503.4400, -64.553
1503.4500, -64.761
1503.4600, -64.759
1503.4700, -65.095
1503.4800, -65.093
