,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.0029527569584345144,0.18732704646874762,14.95710258360121,4.401166869662198,-1.1622018754771561,1.0928164020961602,0.8055597411318877,-0.8871558139208356,-1.2629518205386097
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.0033797574407353034,0.0061317597168977795,399.21329750107685,3.8451209376727267,-1.1352304085053655,1.0648767740466878,0.8055597411318877,-0.8871558139208356,-1.1998042295116793
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.003844598934045868,0.05369677878793745,40.075263343693074,3.3802163301207067,-1.0931473594236114,1.023578647648522,0.8055597411318877,-0.8871558139208356,-1.0735090474578186
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.004335345650224875,0.06886445248578811,27.711295658961447,2.9975870779651492,-1.0555197415615145,0.9863470342416804,0.8055597411318877,-0.8871558139208356,-1.0103614564308883
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0048440506576581605,0.06688439461242948,25.53537164224635,2.6827911221533696,-1.026006510414236,0.9564477957851618,0.8055597411318877,-0.8871558139208356,-0.8840662743770267
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.005363724194451493,0.06501559103203092,23.72420710808449,2.4228643435972677,-1.0033606126035768,0.9332224585308774,0.8055597411318877,-0.8871558139208356,-0.8209186833500963
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.005890941880747904,0.05648602038362423,24.862794662416615,2.2060268735797828,-0.9857130441186936,0.9147717097943104,0.8055597411318877,-0.8871558139208356,-0.757771092323166
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.0064231971759414214,0.04863617217453538,26.482868162468904,2.0232254660190776,-0.9719165454146601,0.9001433929425207,0.8055597411318877,-0.8871558139208356,-0.6946235012962356
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.0069588766632602056,0.04375891834363892,27.16876780118831,1.8674818837122669,-0.9608237470744051,0.8883082397058752,0.8055597411318877,-0.8871558139208356,-0.6314759102693053
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.0074970113053282935,0.037554171875208466,29.385244212023693,1.733434240707394,-0.9519243567602975,0.8787272821090637,0.8055597411318877,-0.8871558139208356,-0.6314759102693053
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.008036715309070819,0.03328554501853856,30.92725697796916,1.6170258121447645,-0.9446460163289429,0.8707652601127309,0.8055597411318877,-0.8871558139208356,-0.568328319242374
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.00857762259195513,0.02804767138837142,34.388395702014215,1.5150557115691854,-0.9385519499680004,0.8640887005509789,0.8055597411318877,-0.8871558139208356,-0.5051807282154437
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.009120019015205184,0.025479449557431016,35.60326889663182,1.4249505486731846,-0.9334294669666322,0.8585061514618929,0.8055597411318877,-0.8871558139208356,-0.5051807282154437
13,3400,-3.670985100730282e-26,1.8131082804175418e-24,0.8349482648489458,0.9862959374231203,0.38650164174576274,0.009661614947013064,0.02140544775168605,40.00383412767362,1.34507286524021,-0.9291585689436311,0.8537197478492848,0.8055597411318877,-0.8871558139208356,-0.5051807282154437
14,3600,-3.0327031925170844e-26,1.8209490239130144e-24,0.7907372647182788,0.9337757314598745,0.46784722347948504,0.010205032375694123,0.01768363748490341,45.844756415842646,1.2734478070426087,-0.9255159228738968,0.8495772977213827,0.8055597411318877,-0.8871558139208356,-0.44203313718851334
15,3800,-2.6081023995833454e-26,1.951715669342515e-24,0.7509798394624869,0.8866132608966475,0.5440130604086533,0.010747878462305448,0.01520779793800371,50.61585524218526,1.209129424490991,-0.9222487202980267,0.8459609846651482,0.8055597411318877,-0.8871558139208356,-0.44203313718851334
16,4000,-2.3172582250505093e-26,1.9724470820678958e-24,0.7149842364111462,0.843922627725841,0.6122933356836231,0.01129157017256938,0.013511890814706917,54.22570345186073,1.1509095635960946,-0.919571360738337,0.8429437190079534,0.8055597411318877,-0.8871558139208356,-0.378885546161583
17,4200,-1.9897574655266027e-26,1.9466190916664085e-24,0.6822869563412309,0.8051202891285526,0.7130727200870092,0.011835761314001566,0.011602239807070874,60.24730485595824,1.0979924108686518,-0.9170991242192289,0.8401692811889523,0.8055597411318877,-0.8871558139208356,-0.378885546161583
18,4400,-1.565826136373962e-26,1.937798196959297e-24,0.6524588588193537,0.7697194529573765,0.9061298283998179,0.012380110096701898,0.009130303891374985,73.19238854274921,1.0497140977032642,-0.9150076856849577,0.8377807673346181,0.8055597411318877,-0.8871558139208356,-0.378885546161583
19,4600,-1.409787667685584e-26,1.8793249838722063e-24,0.6250970059146614,0.73730087938228,1.0064223150609395,0.01292445436816673,0.008220446401597182,77.8696172690883,1.0055028807742128,-0.9130324543672359,0.8356220927291065,0.8055597411318877,-0.8871558139208356,-0.378885546161583
20,4800,-1.1190909746988949e-26,1.998730481442585e-24,0.5999683874500688,0.7075385886036878,1.2678520337796888,0.013468115696687547,0.006525399240529533,94.13729896094628,0.9649142012362382,-0.9114568140269865,0.8337447504353896,0.8055597411318877,-0.8871558139208356,-0.31573795513465264
21,5000,-7.753850372308687e-27,1.9384809918293982e-24,0.5767896091390341,0.680010893282323,1.8298544595644963,0.014013321941343072,0.004521256133287687,130.57963466649068,0.9273729779436563,-0.9098962683181572,0.8319602677740241,0.8055597411318877,-0.8871558139208356,-0.31573795513465264
