,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.2126158270525794e-25,1.4988763212805335e-24,2.5985860295368193,3.227225167979167,0.044164688361079486,0.0018454730990215716,0.10086841048359192,23.931363932909463,3.791774533862817,1.233074662175875,-1.3387865380216513,0.7953054299644606,-0.8754786398952643,-0.1260839860972487
1,1000,1.05158270096064e-26,8.847285344736574e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.003301716770637266,638.7412760017229,3.312719577071887,1.1875544520050652,-1.2889409498353335,0.7953054299644606,-0.8754786398952643,-2.563707717310734
2,1200,-9.208873899899926e-26,1.0549135505946082e-24,2.091580135922764,2.4785970486542803,0.1540733192439422,0.0024028743337786676,0.02891364927000775,64.12042322731561,2.9121863767193776,1.1231058093526647,-1.2161658281008667,0.7953054299644606,-0.8754786398952643,-2.8579036848709825
3,1400,-1.1810095084500586e-25,1.4086053157962695e-24,1.8577546434996284,2.198028102024852,0.12013804783998373,0.0027095910313905468,0.037080858184235024,44.338074066598,2.582536559477667,1.0656125807925432,-1.152075742046913,0.7953054299644606,-0.8754786398952643,0.2731819698773732
4,1600,-1.147051970929683e-25,1.57171070919766e-24,1.6629222062491298,1.9671989920502493,0.12369463670477984,0.0030275316610363498,0.036014673175503456,40.85659558798408,2.311327736009057,1.0190620872222786,-1.1011007831290716,0.7953054299644606,-0.8754786398952643,-1.008671888777994
5,1800,-1.115002445930893e-25,1.3165032044286939e-24,1.5016605821059907,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.035008395171093575,37.95873137293518,2.087390819099185,0.9826324457311396,-1.0620059851726067,0.7953054299644606,-0.8754786398952643,-1.050699884143743
6,2000,-9.68722188475751e-26,1.96540833902283e-24,1.3672082313957514,1.617604071486047,0.14646529057923033,0.00368183867546744,0.030415546897614255,39.780474781566944,1.9005769987764283,0.9535889821285224,-1.031291578862287,0.7953054299644606,-0.8754786398952643,-2.1013997682874868
7,2200,-8.34099122510057e-26,1.8120241481294406e-24,1.2540039829189673,1.4835620502010858,0.1701046949895791,0.004014498234963388,0.026188706400832675,42.37259179941585,1.7430865553395125,0.9304379110383592,-1.0071947024345569,0.7953054299644606,-0.8754786398952643,2.710805701090859
8,2400,-7.504553400795292e-26,1.8450548528176516e-24,1.157691607799414,1.369360606934666,0.18906411780694732,0.004349297914537629,0.02356249279958074,43.47003160556009,1.6089074690444145,0.9119325728201755,-0.9881516820362137,0.7953054299644606,-0.8754786398952643,-0.7565039165834948
9,2600,-6.440452561146056e-26,2.383921351908232e-24,1.0748730186150868,1.2710680540674728,0.2203015634050428,0.0046856320658301845,0.02022147208413005,47.01640254931338,1.4934202689171396,0.8967770030542475,-0.9727686081580554,0.7953054299644606,-0.8754786398952643,-0.5883919351204963
10,2800,-5.708394212626699e-26,2.1040709216561692e-24,1.0029530878068071,1.185709733979269,0.24855357135603512,0.005022947068169262,0.017922984933111535,49.48361350075438,1.3931299304631817,0.8843344753103987,-0.960282315643015,0.7953054299644606,-0.8754786398952643,-0.8825879026807444
11,3000,-4.8101106516527045e-26,2.073169483852995e-24,0.9399565966979646,1.110938546086515,0.2949707129437841,0.005361014119971958,0.015102590592898238,55.02143929166279,1.3052787668903751,0.873977658975261,-0.949895372560119,0.7953054299644606,-0.8754786398952643,-1.8912597914587383
12,3200,-4.369666239665814e-26,2.2096733307312194e-24,0.8843688246032192,1.0448675112736143,0.3247025494480327,0.005700011884503239,0.013719701068125601,56.96524077972704,1.2276497034722824,0.86530550395521,-0.9413203035804728,0.7953054299644606,-0.8754786398952643,2.290525747433361
13,3400,-3.6709845614698974e-26,1.813108279984299e-24,0.8349482648489458,0.9862959374231203,0.3865016985220908,0.006038509341883164,0.01152600863468304,64.0061440066526,1.1588320069761813,0.8579293418301168,-0.9341077556146777,0.7953054299644606,-0.8754786398952643,-2.899931680236732
14,3600,-3.032702653407163e-26,1.820949023752587e-24,0.7907372647182785,0.9337757314598745,0.46784730664658336,0.006378145234808827,0.009521956953041729,73.35162330473433,1.0971242645290167,0.8516250051001283,-0.9279484385857834,0.7953054299644606,-0.8754786398952643,-2.1854557590189865
15,3800,-2.6081023995833454e-26,1.9517156690142767e-24,0.7509798394624868,0.8866132608966475,0.5440130604086533,0.0067174240389409065,0.00818881427430969,80.98536838749641,1.0417115041768537,0.8461991219514015,-0.9226748926871765,0.7953054299644606,-0.8754786398952643,1.4919938354841156
16,4000,-2.317257955420317e-26,1.9724470816850435e-24,0.7149842364111463,0.843922627725841,0.6122934069285052,0.007057231357855863,0.00727563266903746,86.7611356182792,0.9915528547904815,0.8415639426842408,-0.9182083816263846,0.7953054299644606,-0.8754786398952643,0.2731819698773732
17,4200,-1.9897571958964105e-26,1.9466190913804342e-24,0.6822869563412308,0.8051202891285526,0.7130728167148466,0.00739735082125098,0.00624735904954113,96.39570083202535,0.9459626924406845,0.8374955979370046,-0.9142906861285194,0.7953054299644606,-0.8754786398952643,0.1470979837801245
18,4400,-1.565825597264041e-26,1.937798196895905e-24,0.6524588588193536,0.7697194529573765,0.9061301403781002,0.007737568810438687,0.004916315787295652,117.10786198833515,0.9043690687905044,0.833890271071507,-0.9108553540867154,0.7953054299644606,-0.8754786398952643,-1.008671888777994
19,4600,-1.4097868587950075e-26,1.879324983434479e-24,0.6250970059146613,0.73730087938228,1.0064228925138514,0.008077783980104206,0.0044263916765227675,124.59145911709169,0.8662794049747062,0.8307789932029659,-0.9078560921468266,0.7953054299644606,-0.8754786398952643,2.33255374279911
20,4800,-1.1190901659587815e-26,1.9987304810198083e-24,0.5999683874500686,0.7075385886036878,1.2678529500265014,0.008417572310429717,0.0035136739748818373,150.61978718680913,0.8313106964496819,0.8279932524141684,-0.9052111917765254,0.7953054299644606,-0.8754786398952643,-2.8158756895052326
21,5000,-7.753842283402921e-27,1.938480991491343e-24,0.576789609139034,0.680010893282323,1.8298563684916769,0.00875832621333942,0.002434519993586886,208.92763342209193,0.7989674886899191,0.8255140767371199,-0.9028382647997564,0.7953054299644606,-0.8754786398952643,1.5340218308498654
