,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.2126158270525794e-25,1.4988763212805335e-24,2.5985860295368193,3.227225167979167,0.044164688361079486,0.0018454730990215716,0.36024432315568544,23.931363932909463,13.542051906652919,2.582320971078214,-3.141770144333228,0.7953054299644606,-0.8754786398952643,2.5847217149936093
1,1000,1.05158270096064e-26,8.847285344736574e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.011791845609418808,638.7412760017229,11.83114134668531,2.769831558221717,-3.301404639676964,0.7953054299644606,-0.8754786398952643,-2.9419596756024817
2,1200,-9.208873899899926e-26,1.0549135505946082e-24,2.091580135922764,2.4785970486542803,0.1540733192439422,0.0024028743337786676,0.10326303310717054,64.12042322731561,10.400665631140637,2.6993943562077503,-3.17155019954319,0.7953054299644606,-0.8754786398952643,-2.4376237312134847
3,1400,-1.1810095084500586e-25,1.4086053157962695e-24,1.8577546434996284,2.198028102024852,0.12013804783998373,0.0027095910313905468,0.13243163637226796,44.338074066598,9.223344855277382,2.4930057578255034,-2.9285838042106835,0.7953054299644606,-0.8754786398952643,1.4079378447526167
4,1600,-1.147051970929683e-25,1.57171070919766e-24,1.6629222062491298,1.9671989920502493,0.12369463670477984,0.0030275316610363498,0.12862383276965522,40.85659558798408,8.254741914318062,2.2825808085620793,-2.673544385103015,0.7953054299644606,-0.8754786398952643,-1.5130078331669905
5,1800,-1.115002445930893e-25,1.3165032044286939e-24,1.5016605821059907,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.12502998275390562,37.95873137293518,7.454967211068517,2.1053786899262317,-2.447203377935863,0.7953054299644606,-0.8754786398952643,0.8615739049978695
6,2000,-9.68722188475751e-26,1.96540833902283e-24,1.3672082313957514,1.617604071486047,0.14646529057923033,0.00368183867546744,0.1086269532057652,39.780474781566944,6.7877749956301,1.9514456348311202,-2.24799318095993,0.7953054299644606,-0.8754786398952643,-2.1013997682874868
7,2200,-8.34099122510057e-26,1.8120241481294406e-24,1.2540039829189673,1.4835620502010858,0.1701046949895791,0.004014498234963388,0.09353109428868812,42.37259179941585,6.225309126212545,1.8229187414167538,-2.0806750412622437,0.7953054299644606,-0.8754786398952643,-1.0927278795094928
8,2400,-7.504553400795292e-26,1.8450548528176516e-24,1.157691607799414,1.369360606934666,0.18906411780694732,0.004349297914537629,0.08415175999850263,43.47003160556009,5.746098103730052,1.7163171385973257,-1.9427551857317331,0.7953054299644606,-0.8754786398952643,-0.1260839860972487
9,2600,-6.440452561146056e-26,2.383921351908232e-24,1.0748730186150868,1.2710680540674728,0.2203015634050428,0.0046856320658301845,0.07221954315760733,47.01640254931338,5.333643817561213,1.6244032632386116,-1.8248181156463439,0.7953054299644606,-0.8754786398952643,-2.2274837543847363
10,2800,-5.708394212626699e-26,2.1040709216561692e-24,1.0029530878068071,1.185709733979269,0.24855357135603512,0.005022947068169262,0.06401066047539834,49.48361350075438,4.975464037368506,1.5463197823502184,-1.725691559911733,0.7953054299644606,-0.8754786398952643,-0.7565039165834948
11,3000,-4.8101106516527045e-26,2.073169483852995e-24,0.9399565966979646,1.110938546086515,0.2949707129437841,0.005361014119971958,0.05393782354606514,55.02143929166279,4.66170988175134,1.4779151732420193,-1.6399324517105962,0.7953054299644606,-0.8754786398952643,0.10506998841437465
12,3200,-4.369666239665814e-26,2.2096733307312194e-24,0.8843688246032192,1.0448675112736143,0.3247025494480327,0.005700011884503239,0.04899893238616287,56.96524077972704,4.384463226686723,1.4193632061805497,-1.5673985962603108,0.7953054299644606,-0.8754786398952643,1.4499658401183666
13,3400,-3.6709845614698974e-26,1.813108279984299e-24,0.8349482648489458,0.9862959374231203,0.3865016985220908,0.006038509341883164,0.04116431655243943,64.0061440066526,4.138685739200647,1.367193081988819,-1.5034334736120973,0.7953054299644606,-0.8754786398952643,2.668777705725109
