,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.2126158270525794e-25,1.4988763212805335e-24,2.5985860295368193,3.227225167979167,0.044164688361079486,0.0018454730990215716,0.28819545852454836,23.931363932909463,10.833641525322335,2.307438272310498,-2.7362173502173315,0.7953054299644606,-0.8754786398952643,-0.7144759212177458
1,1000,1.05158270096064e-26,8.847285344736574e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.009433476487535047,638.7412760017229,9.464913077348248,2.3749586636323174,-2.8076959297105737,0.7953054299644606,-0.8754786398952643,-2.563707717310734
2,1200,-9.208873899899926e-26,1.0549135505946082e-24,2.091580135922764,2.4785970486542803,0.1540733192439422,0.0024028743337786676,0.08261042648573642,64.12042322731561,8.320532504912508,2.253216534352728,-2.6408765163229693,0.7953054299644606,-0.8754786398952643,-0.8405599073149945
3,1400,-1.1810095084500586e-25,1.4086053157962695e-24,1.8577546434996284,2.198028102024852,0.12013804783998373,0.0027095910313905468,0.10594530909781436,44.338074066598,7.378675884221906,2.0759844462726305,-2.4097367892706956,0.7953054299644606,-0.8754786398952643,-2.8158756895052326
4,1600,-1.147051970929683e-25,1.57171070919766e-24,1.6629222062491298,1.9671989920502493,0.12369463670477984,0.0030275316610363498,0.10289906621572416,40.85659558798408,6.603793531454449,1.908959589737347,-2.1926321950533554,0.7953054299644606,-0.8754786398952643,2.37458173816486
5,1800,-1.115002445930893e-25,1.3165032044286939e-24,1.5016605821059907,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.1000239862031245,37.95873137293518,5.963973768854813,1.7694239334790243,-2.011427819009936,0.7953054299644606,-0.8754786398952643,3.047029664016856
6,2000,-9.68722188475751e-26,1.96540833902283e-24,1.3672082313957514,1.617604071486047,0.14646529057923033,0.00368183867546744,0.08690156256461216,39.780474781566944,5.43021999650408,1.6498068882754864,-1.8574729884193621,0.7953054299644606,-0.8754786398952643,-1.8492317960929885
7,2200,-8.34099122510057e-26,1.8120241481294406e-24,1.2540039829189673,1.4835620502010858,0.1701046949895791,0.004014498234963388,0.0748248754309505,42.37259179941585,4.980247300970036,1.5500475131313727,-1.7308688340535097,0.7953054299644606,-0.8754786398952643,0.2731819698773732
8,2400,-7.504553400795292e-26,1.8450548528176516e-24,1.157691607799414,1.369360606934666,0.18906411780694732,0.004349297914537629,0.06732140799880211,43.47003160556009,4.5968784829840414,1.4673543151411863,-1.6272702816589741,0.7953054299644606,-0.8754786398952643,1.029685886460869
9,2600,-6.440452561146056e-26,2.383921351908232e-24,1.0748730186150868,1.2710680540674728,0.2203015634050428,0.0046856320658301845,0.05777563452608586,47.01640254931338,4.26691505404897,1.3966532603423953,-1.5397863601756523,0.7953054299644606,-0.8754786398952643,0.6094059328033712
10,2800,-5.708394212626699e-26,2.1040709216561692e-24,1.0029530878068071,1.185709733979269,0.24855357135603512,0.005022947068169262,0.05120852838031867,49.48361350075438,3.980371229894805,1.3366270674193517,-1.4667969956307205,0.7953054299644606,-0.8754786398952643,0.5253499420718715
11,3000,-4.8101106516527045e-26,2.073169483852995e-24,0.9399565966979646,1.110938546086515,0.2949707129437841,0.005361014119971958,0.04315025883685211,55.02143929166279,3.7293679054010718,1.284614962818297,-1.4041703779450012,0.7953054299644606,-0.8754786398952643,1.2398258632896173
12,3200,-4.369666239665814e-26,2.2096733307312194e-24,0.8843688246032192,1.0448675112736143,0.3247025494480327,0.005700011884503239,0.03919914590893029,56.96524077972704,3.5075705813493783,1.2401063459875152,-1.3514052477474148,0.7953054299644606,-0.8754786398952643,2.33255374279911
