,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.2126158270525794e-25,1.4988763212805335e-24,2.5985860295368193,3.227225167979167,0.044164688361079486,0.0018454730990215716,0.24496613974586612,23.931363932909463,9.208595296523985,2.1042082975923964,-2.4523008090569602,0.7953054299644606,-0.8754786398952643,-0.16811198146299855
1,1000,1.05158270096064e-26,8.847285344736574e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.008018455014404789,638.7412760017229,8.045176115746012,2.1156276241539804,-2.465378776468131,0.7953054299644606,-0.8754786398952643,2.710805701090859
2,1200,-9.208873899899926e-26,1.0549135505946082e-24,2.091580135922764,2.4785970486542803,0.1540733192439422,0.0024028743337786676,0.07021886251287597,64.12042322731561,7.072452629175633,1.9866301521905758,-2.294150105123555,0.7953054299644606,-0.8754786398952643,0.10506998841437465
3,1400,-1.1810095084500586e-25,1.4086053157962695e-24,1.8577546434996284,2.198028102024852,0.12013804783998373,0.0027095910313905468,0.09005351273314222,44.338074066598,6.27187450158862,1.8306201047172885,-2.0905035219616144,0.7953054299644606,-0.8754786398952643,2.2064697567018614
4,1600,-1.147051970929683e-25,1.57171070919766e-24,1.6629222062491298,1.9671989920502493,0.12369463670477984,0.0030275316610363498,0.08746420628336554,40.85659558798408,5.613224501736282,1.6891643579818192,-1.908018577655994,0.7953054299644606,-0.8754786398952643,-2.7738476941394827
5,1800,-1.115002445930893e-25,1.3165032044286939e-24,1.5016605821059907,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.08502038827265583,37.95873137293518,5.069377703526592,1.5721407042878852,-1.7588064144787703,0.7953054299644606,-0.8754786398952643,0.6094059328033712
6,2000,-9.68722188475751e-26,1.96540833902283e-24,1.3672082313957514,1.617604071486047,0.14646529057923033,0.00368183867546744,0.07386632817992034,39.780474781566944,4.615686997028469,1.4729729485759173,-1.634379172709664,0.7953054299644606,-0.8754786398952643,-2.899931680236732
7,2200,-8.34099122510057e-26,1.8120241481294406e-24,1.2540039829189673,1.4835620502010858,0.1701046949895791,0.004014498234963388,0.06360114411630793,42.37259179941585,4.2332102058245304,1.3907312784926353,-1.5328505859176222,0.7953054299644606,-0.8754786398952643,-0.16811198146299855
8,2400,-7.504553400795292e-26,1.8450548528176516e-24,1.157691607799414,1.369360606934666,0.18906411780694732,0.004349297914537629,0.057223196798981794,43.47003160556009,3.9073467105364355,1.322736909754675,-1.4501256808874194,0.7953054299644606,-0.8754786398952643,3.005001668651106
9,2600,-6.440452561146056e-26,2.383921351908232e-24,1.0748730186150868,1.2710680540674728,0.2203015634050428,0.0046856320658301845,0.049109289347172985,47.01640254931338,3.626877795941625,1.2649734426238932,-1.381065714470027,0.7953054299644606,-0.8754786398952643,-0.16811198146299855
