,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.007381892396086286,0.24496613768990075,5.982841033440483,2.3021488241309953,-0.903638924592369,0.8260899867477209,0.8034923569944098,-0.88454471598742,-0.31573795513465264
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.00844939360183826,0.008018455014404789,159.68531900043072,2.011294028936503,-0.9017001770424787,0.8237116354470214,0.8034923569944098,-0.88454471598742,-0.2525903641077214
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.00961149733511467,0.07021886456884129,16.030105337477227,1.7681131572939082,-0.8989852291767018,0.8205531534612678,0.8034923569944098,-0.88454471598742,-0.2525903641077214
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.010838364125562187,0.09005351478910753,11.084518263584577,1.5679686253971552,-0.8967096548609756,0.8178119655113313,0.8034923569944098,-0.88454471598742,-0.18944277308079105
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.012110126644145399,0.08746420833933087,10.21414865689854,1.4033061254340706,-0.8948487313637503,0.8155863215130084,0.8034923569944098,-0.88454471598742,-0.18944277308079105
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.013409310486128735,0.08502038827265583,9.489682843233796,1.267344425881648,-0.89329225048503,0.8138737393355013,0.8034923569944098,-0.88454471598742,-0.18944277308079105
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.01472735470186976,0.07386633434781631,9.945117864966646,1.1539217492571172,-0.8922644525572826,0.8125872651986981,0.8034923569944098,-0.88454471598742,-0.18944277308079105
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.016057992939853553,0.06360114822823858,10.593147264987559,1.0583025514561326,-0.8913028619238141,0.8114724147437292,0.8034923569944098,-0.88454471598742,-0.1262951820538607
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.017397191658150516,0.05722320091091244,10.867507120475322,0.9768366776341089,-0.8905234008915273,0.8106220735200637,0.8034923569944098,-0.88454471598742,-0.1262951820538607
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.018742528263320738,0.04910930168296492,11.754097684809476,0.9067194489854061,-0.8899881137261301,0.8099302703667922,0.8034923569944098,-0.88454471598742,-0.1262951820538607
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.020091788272677047,0.043527251178088894,12.370902791187666,0.8458288863526462,-0.8894848155545944,0.8092995798729952,0.8034923569944098,-0.88454471598742,-0.1262951820538607
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.02144405647988783,0.03667772412325494,13.755358280805686,0.7924906798977279,-0.8890087618719185,0.8087820627466489,0.8034923569944098,-0.88454471598742,-0.1262951820538607
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.022800047538012957,0.033319280190486716,14.241307558652727,0.7453587485367429,-0.8885915540006741,0.8084061108517366,0.8034923569944098,-0.88454471598742,-0.1262951820538607
