,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.0018454730990215716,0.21614659207932416,23.93136413376193,8.125231143991748,-2.334737131216577,2.080998366286793,0.8175989634530867,-0.8990141440766076,2.8416415962118737
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.007075107365651284,638.7412760017229,7.098684808011186,-2.1124540476440847,2.0172972239911684,0.8175989634530867,-0.8990141440766076,2.7784940051849425
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.0024028743337786676,0.06195782167838937,64.12042134990891,6.240399378684381,-2.0656419518417617,1.9366400737675824,0.8175989634530867,-0.8990141440766076,3.031084369292665
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.0027095910313905468,0.07945898363744781,44.33807305433831,5.534006913166429,-1.8845343850163179,1.7685698586098606,0.8175989634530867,-0.8990141440766076,-2.999510573779199
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0030275316610363498,0.07717430147588017,40.85659462759416,4.9528451485908365,-1.7223123444333384,1.618746492631119,0.8175989634530867,-0.8990141440766076,-2.8100678006984072
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.07501798965234337,37.95873137293518,4.47298032664111,-1.5864389239949346,1.4955730634443565,0.8175989634530867,-0.8990141440766076,-2.557477436590686
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.00368183867546744,0.06517617736572026,39.78047145986658,4.072664997378061,-1.4733605810692965,1.392841684664593,0.8175989634530867,-0.8990141440766076,-2.431182254536825
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.004014498234963388,0.05611866020138697,42.372589059950236,3.735185475727527,-1.3807717131758763,1.3083864844064663,0.8175989634530867,-0.8990141440766076,-2.241739481456033
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.004349297914537629,0.050491059627275674,43.47002848190129,3.4476588622380304,-1.3051291283447788,1.2386445773132584,0.8175989634530867,-0.8990141440766076,-2.1154442994021725
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.0046856320658301845,0.043331736779086694,47.016390739237906,3.2001862905367275,-1.2425090642675949,1.1803726046077896,0.8175989634530867,-0.8990141440766076,-1.9891491173483118
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.005022947068169262,0.038406398098313727,49.48361116475066,2.985278422421104,-1.1909553307207197,1.1312927113041495,0.8175989634530867,-0.8990141440766076,-1.9260015263213806
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.005361014119971958,0.03236269775581318,55.02143312322274,2.797025929050804,-1.1477216553650684,1.0896901417898128,0.8175989634530867,-0.8990141440766076,-1.7997063442675199
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.005700011884503239,0.029399364873958864,56.96523023461091,2.6306779360120336,-1.1114916787014315,1.0543991851214458,0.8175989634530867,-0.8990141440766076,-1.7365587532405895
13,3400,-3.670985100730282e-26,1.8131082804175418e-24,0.8349482648489458,0.9862959374231203,0.38650164174576274,0.006038509341883164,0.02469859355963775,64.00613460427779,2.483211443520388,-1.0810114371364627,1.0239019083813239,0.8175989634530867,-0.8990141440766076,-1.6734111622136592
14,3600,-3.0327031925170844e-26,1.8209490239130144e-24,0.7907372647182788,0.9337757314598745,0.46784722347948504,0.006378145234808827,0.020404197097965475,73.35161026534823,2.3509805668478925,-1.0550437394441987,0.997810814579435,0.8175989634530867,-0.8990141440766076,-1.6102635711867288
15,3800,-2.6081023995833454e-26,1.951715669342515e-24,0.7509798394624869,0.8866132608966475,0.5440130604086533,0.0067174240389409065,0.01754745915923505,80.98536838749641,2.2322389375218292,-1.0328858688597362,0.9751850154767859,0.8175989634530867,-0.8990141440766076,-1.5471159801597976
16,4000,-2.3172582250505093e-26,1.9724470820678958e-24,0.7149842364111462,0.843922627725841,0.6122933356836231,0.007057231357855863,0.01559064324773875,86.76112552297715,2.1247561174081744,-1.0139183635905944,0.9554834779500581,0.8175989634530867,-0.8990141440766076,-1.4839683891328672
17,4200,-1.9897574655266027e-26,1.9466190916664085e-24,0.6822869563412309,0.8051202891285526,0.7130727200870092,0.00739735082125098,0.013387199777389471,96.39568776953317,2.027062912372896,-0.9975420828505939,0.9382329003837097,0.8175989634530867,-0.8990141440766076,-1.420820798105936
18,4400,-1.565826136373962e-26,1.937798196959297e-24,0.6524588588193537,0.7697194529573765,0.9061298283998179,0.007737568810438687,0.010534966028509599,117.10782166839873,1.9379337188367953,-0.9832725415447913,0.9232272551472137,0.8175989634530867,-0.8990141440766076,-1.3576732070790065
19,4600,-1.409787667685584e-26,1.8793249838722063e-24,0.6250970059146614,0.73730087938228,1.0064223150609395,0.008077783980104206,0.009485130463381362,124.59138763054126,1.8563130106600851,-0.9710986114716735,0.9099945745846398,0.8175989634530867,-0.8990141440766076,-1.294525616052077
20,4800,-1.1190909746988949e-26,1.998730481442585e-24,0.5999683874500688,0.7075385886036878,1.2678520337796888,0.008417572310429717,0.007529306815995615,150.61967833751402,1.7813800638207469,-0.9603168035184161,0.8983164000305177,0.8175989634530867,-0.8990141440766076,-1.231378025025144
21,5000,-7.753850372308687e-27,1.9384809918293982e-24,0.5767896091390341,0.680010893282323,1.8298544595644963,0.00875832621333942,0.005216833999947331,208.92741546638507,1.7120731900498267,-0.9508800624038745,0.887933036673403,0.8175989634530867,-0.8990141440766076,-1.231378025025144
