,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.0018454730990215716,0.04322931841586484,23.93136413376193,1.6250462287983496,-0.9288902697745132,0.8637226709693822,0.8175989634530867,-0.8990141440766076,-1.1050828429712851
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.0014150214731302568,638.7412760017229,1.4197369616022373,-0.9146597030985855,0.8469594919457125,0.8175989634530867,-0.8990141440766076,-0.9787876609174226
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.0024028743337786676,0.012391564335677873,64.12042134990891,1.2480798757368763,-0.9009120518210229,0.8303594656208634,0.8175989634530867,-0.8990141440766076,-0.9156400698904932
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.0027095910313905468,0.015891796727489565,44.33807305433831,1.1068013826332859,-0.8910741893340997,0.818354352277961,0.8175989634530867,-0.8990141440766076,-0.7893448878366307
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0030275316610363498,0.015434860295176035,40.85659462759416,0.9905690297181673,-0.8847823144920894,0.8102170932170761,0.8175989634530867,-0.8990141440766076,-0.7261972968097012
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.015003597930468675,37.95873137293518,0.894596065328222,-0.8807472839929626,0.8048010752266453,0.8175989634530867,-0.8990141440766076,-0.6630497057827718
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.00368183867546744,0.013035235473144053,39.78047145986658,0.8145329994756121,-0.878277683516015,0.8013287930819392,0.8175989634530867,-0.8990141440766076,-0.5999021147558405
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.004014498234963388,0.011223732040277394,42.372589059950236,0.7470370951455054,-0.8767990916914861,0.7991229660563827,0.8175989634530867,-0.8990141440766076,-0.5367545237289093
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.004349297914537629,0.010098211925455135,43.47002848190129,0.6895317724476062,-0.8760564340631034,0.7976873855812089,0.8175989634530867,-0.8990141440766076,-0.47360693270197984
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.0046856320658301845,0.008666347355817339,47.016390739237906,0.6400372581073455,-0.8757222062942154,0.7968259431190818,0.8175989634530867,-0.8990141440766076,-0.47360693270197984
