,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.0018454730990215716,0.10086840963701796,23.93136413376193,3.7917745338628155,-1.3670862756084037,1.278537370859992,0.8060266945794594,-0.8877321563811258,-1.6418373667001926
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.003301716770637266,638.7412760017229,3.312719577071887,-1.3128017868259185,1.228742599728926,0.8060266945794594,-0.8877321563811258,-1.515542184646332
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.0024028743337786676,0.028913650116581705,64.12042134990891,2.9121863767193776,-1.2403014021768868,1.162783167996406,0.8060266945794594,-0.8877321563811258,-1.3892470025924712
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.0027095910313905468,0.03708085903080898,44.33807305433831,2.582536559477667,-1.1774164822090034,1.1043620478676546,0.8060266945794594,-0.8877321563811258,-1.2629518205386097
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0030275316610363498,0.03601467402207741,40.85659462759416,2.311327736009057,-1.1273817298901976,1.0569717549187736,0.8060266945794594,-0.8877321563811258,-1.136656638484749
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.035008395171093575,37.95873137293518,2.087390819099185,-1.088849992890823,1.019529293158257,0.8060266945794594,-0.8877321563811258,-1.0735090474578186
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.00368183867546744,0.030415549437336122,39.78047145986658,1.900576998776428,-1.0586947177465085,0.989496152435838,0.8060266945794594,-0.8877321563811258,-1.0103614564308883
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.004014498234963388,0.02618870809398059,42.372589059950236,1.7430865553395127,-1.0347716823331345,0.9654610064044997,0.8060266945794594,-0.8877321563811258,-0.947213865403957
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.004349297914537629,0.02356249449272865,43.47002848190129,1.6089074690444143,-1.0156751851775383,0.9459110787921403,0.8060266945794594,-0.8877321563811258,-0.8840662743770267
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.0046856320658301845,0.02022147716357379,47.016390739237906,1.4934202689171396,-1.000117378544116,0.9297754919970285,0.8060266945794594,-0.8877321563811258,-0.8209186833500963
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.005022947068169262,0.01792298577921307,49.48361116475066,1.393129930463182,-0.9874038122443374,0.9164974310245919,0.8060266945794594,-0.8877321563811258,-0.757771092323166
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.005361014119971958,0.01510259228604615,55.02143312322274,1.3052787668903751,-0.9766901084140998,0.9051867472074313,0.8060266945794594,-0.8877321563811258,-0.6946235012962356
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.005700011884503239,0.01371970360784747,56.96523023461091,1.2276497034722824,-0.9677549068796423,0.8957000232022632,0.8060266945794594,-0.8877321563811258,-0.6946235012962356
13,3400,-3.670985100730282e-26,1.8131082804175418e-24,0.8349482648489458,0.9862959374231203,0.38650164174576274,0.006038509341883164,0.011526010327830951,64.00613460427779,1.158832006976181,-0.9601742592800532,0.8875706605724734,0.8060266945794594,-0.8877321563811258,-0.6314759102693053
14,3600,-3.0327031925170844e-26,1.8209490239130144e-24,0.7907372647182788,0.9337757314598745,0.46784722347948504,0.006378145234808827,0.009521958645717222,73.35161026534823,1.0971242645290167,-0.9536801120698355,0.8805433446419713,0.8060266945794594,-0.8877321563811258,-0.6314759102693053
15,3800,-2.6081023995833454e-26,1.951715669342515e-24,0.7509798394624869,0.8866132608966475,0.5440130604086533,0.0067174240389409065,0.00818881427430969,80.98536838749641,1.0417115041768537,-0.9481575895461624,0.8744290060656011,0.8060266945794594,-0.8877321563811258,-0.568328319242374
16,4000,-2.3172582250505093e-26,1.9724470820678958e-24,0.7149842364111462,0.843922627725841,0.6122933356836231,0.007057231357855863,0.007275633515611417,86.76112552297715,0.9915528547904814,-0.9433520572554697,0.8690969006862993,0.8060266945794594,-0.8877321563811258,-0.568328319242374
17,4200,-1.9897574655266027e-26,1.9466190916664085e-24,0.6822869563412309,0.8051202891285526,0.7130727200870092,0.00739735082125098,0.006247359896115087,96.39568776953317,0.9459626924406846,-0.9390430657206693,0.8644686194985475,0.8060266945794594,-0.8877321563811258,-0.5051807282154437
18,4400,-1.565826136373962e-26,1.937798196959297e-24,0.6524588588193537,0.7697194529573765,0.9061298283998179,0.007737568810438687,0.004916317479971147,117.10782166839873,0.9043690687905046,-0.9352615437371063,0.860328349838287,0.8060266945794594,-0.8877321563811258,-0.5051807282154437
19,4600,-1.409787667685584e-26,1.8793249838722063e-24,0.6250970059146614,0.73730087938228,1.0064223150609395,0.008077783980104206,0.004426394216244636,124.59138763054126,0.8662794049747063,-0.932013238271004,0.85658344151021,0.8060266945794594,-0.8877321563811258,-0.5051807282154437
20,4800,-1.1190909746988949e-26,1.998730481442585e-24,0.5999683874500688,0.7075385886036878,1.2678520337796888,0.008417572310429717,0.0035136765141312873,150.61967833751402,0.8313106964496818,-0.9289636839037967,0.8533750528985893,0.8060266945794594,-0.8877321563811258,-0.44203313718851334
21,5000,-7.753850372308687e-27,1.9384809918293982e-24,0.5767896091390341,0.680010893282323,1.8298544595644963,0.00875832621333942,0.002434522533308755,208.92741546638507,0.7989674886899193,-0.9264280803535675,0.8503990955930021,0.8060266945794594,-0.8877321563811258,-0.44203313718851334
